unit_id,time,location,size,sales,ads
0,2020-01-01,LA,small,62319.650534398716,ad 2
0,2020-01-02,LA,small,61118.764039840775,ad 2
0,2020-01-03,LA,small,52576.95997985705,ad 2
0,2020-01-04,LA,small,34248.010877392124,ad 2
0,2020-01-05,LA,small,24711.59562250783,ad 2
0,2020-01-06,LA,small,26824.245913075472,ad 2
0,2020-01-07,LA,small,40750.304085345146,ad 2
0,2020-01-08,LA,small,56676.90604562317,ad 2
0,2020-01-09,LA,small,67533.16317889311,ad 2
0,2020-01-10,LA,small,63429.804114803854,ad 2
0,2020-01-11,LA,small,51260.35620642127,ad 2
0,2020-01-12,LA,small,35357.764455607394,ad 2
0,2020-01-13,LA,small,27428.726593358842,ad 2
0,2020-01-14,LA,small,28282.820310129973,ad 2
0,2020-01-15,LA,small,43562.71248755411,ad 2
0,2020-01-16,LA,small,52388.36406673073,ad 2
0,2020-01-17,LA,small,65927.7325648913,ad 2
0,2020-01-18,LA,small,61271.52629734245,ad 2
0,2020-01-19,LA,small,53105.618750458336,ad 2
0,2020-01-20,LA,small,36189.249982419606,ad 2
0,2020-01-21,LA,small,26421.93341494528,ad 2
0,2020-01-22,LA,small,28363.544218524734,ad 2
0,2020-01-23,LA,small,33823.861136928266,ad 2
0,2020-01-24,LA,small,51762.35296763805,ad 2
0,2020-01-25,LA,small,60239.99245463605,ad 2
0,2020-01-26,LA,small,66196.38394799508,ad 2
0,2020-01-27,LA,small,54481.54178920076,ad 2
0,2020-01-28,LA,small,36956.5168943277,ad 2
0,2020-01-29,LA,small,22109.667372304557,ad 2
0,2020-01-30,LA,small,24555.45351280873,ad 2
0,2020-01-31,LA,small,31317.957462563456,ad 2
0,2020-02-01,LA,small,41395.37968284313,ad 2
0,2020-02-02,LA,small,54534.77543185992,ad 2
0,2020-02-03,LA,small,59740.54896650243,ad 2
0,2020-02-04,LA,small,55055.678182026546,ad 2
0,2020-02-05,LA,small,37164.318593346994,ad 2
0,2020-02-06,LA,small,27053.347843662745,ad 2
0,2020-02-07,LA,small,20600.164222816155,ad 2
0,2020-02-08,LA,small,29320.36587463142,ad 2
0,2020-02-09,LA,small,42103.41068016075,ad 2
0,2020-02-10,LA,small,56222.090605106525,ad 2
0,2020-02-11,LA,small,62638.60353132995,ad 2
0,2020-02-12,LA,small,54397.40685502571,ad 2
0,2020-02-13,LA,small,43311.92960786899,ad 2
0,2020-02-14,LA,small,30914.97534042644,ad 2
0,2020-02-15,LA,small,25849.37301390139,ad 2
0,2020-02-16,LA,small,29038.988438664408,ad 2
0,2020-02-17,LA,small,45055.73933950555,ad 2
0,2020-02-18,LA,small,59185.875432165594,ad 2
0,2020-02-19,LA,small,70520.2975728936,ad 2
1,2020-01-01,New York,large,57880.69220846447,ad 2
1,2020-01-02,New York,large,56812.58824046879,ad 2
1,2020-01-03,New York,large,49661.63124141691,ad 2
1,2020-01-04,New York,large,34495.858678729244,ad 2
1,2020-01-05,New York,large,26689.153875624055,ad 2
1,2020-01-06,New York,large,28445.38971300596,ad 2
1,2020-01-07,New York,large,39888.13814480597,ad 2
1,2020-01-08,New York,large,53088.41381747448,ad 2
1,2020-01-09,New York,large,62007.82252190903,ad 2
1,2020-01-10,New York,large,58726.452163716225,ad 2
1,2020-01-11,New York,large,39814.5253507798,ad 0
1,2020-01-12,New York,large,48973.170219057116,ad 0
1,2020-01-13,New York,large,35832.70311218758,ad 0
1,2020-01-14,New York,large,51295.540617153965,ad 0
1,2020-01-15,New York,large,36244.91716756509,ad 0
1,2020-01-16,New York,large,56928.71207145751,ad 0
